ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,Scores
1,Brisbane,Brisbane International,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Dimitrov G.,Nishioka Y.,19.0,75.0,1835.0,701.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.36,3.37,1.42,3.6,1.35,3.18,6-3 6-4
3,Pune,Maharashtra Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Gulbis E.,Sousa P.,95.0,104.0,612.0,550.0,6.0,4.0,4.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.33,3.25,1.36,3.39,1.4,3.5,1.35,3.19,6-4 4-6 6-4
3,Pune,Maharashtra Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Mmoh M.,Gunneswaran P.,103.0,110.0,563.0,521.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.81,2.1,1.83,2.17,1.74,2.09,7-5 6-3
3,Pune,Maharashtra Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Donskoy E.,Andujar P.,97.0,82.0,594.0,658.0,6.0,3.0,5.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.5,2.5,1.54,2.62,1.57,2.65,1.51,2.53,6-3 5-7 7-6
3,Pune,Maharashtra Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Darcis S.,Carballes Baena R.,,73.0,,714.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.37,1.53,2.44,1.61,2.47,1.65,2.35,1.59,6-3 6-4
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Marterer M.,Gojowczyk P.,74.0,59.0,706.0,855.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.9,1.8,2.2,1.74,2.23,1.82,2.09,1.74,6-1 6-4
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Rublev A.,Seppi A.,68.0,37.0,760.0,1106.0,7.0,5.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.5,2.5,1.48,2.83,1.57,2.83,1.5,2.59,7-5 6-1
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Basilashvili N.,Ramos-Vinolas A.,21.0,65.0,1795.0,790.0,6.0,1.0,1.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed,1.4,2.75,1.49,2.81,1.5,3.03,1.45,2.75,6-1 1-6 6-1
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Berdych T.,Kohlschreiber P.,71.0,34.0,715.0,1125.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.62,1.44,2.86,1.47,2.86,2.02,2.44,1.59,6-4 7-6
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Verdasco F.,Lorenzi P.,28.0,109.0,1410.0,525.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.22,4.0,1.23,4.62,1.3,4.7,1.24,4.07,6-3 6-4
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Jarry N.,Haase R.,43.0,50.0,1022.0,965.0,6.0,7.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed,2.1,1.66,2.07,1.83,2.17,1.87,2.05,1.77,6-7 6-4 7-6
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Bautista Agut R.,Berrettini M.,24.0,54.0,1605.0,932.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.3,3.4,1.34,3.5,1.53,3.6,1.35,3.23,6-1 6-4
3,Pune,Maharashtra Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Munar J.,Albot R.,81.0,98.0,663.0,592.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.0,1.72,1.94,1.94,2.08,1.95,1.94,1.86,6-2 7-6
1,Brisbane,Brisbane International,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Uchiyama Y.,Humbert U.,185.0,102.0,275.0,572.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.62,1.44,2.73,1.51,3.26,1.53,2.69,1.47,6-4 7-6
1,Brisbane,Brisbane International,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Millman J.,Sandgren T.,38.0,61.0,1083.0,814.0,7.0,6.0,6.0,7.0,6.0,0.0,,,,,2.0,1.0,Completed,1.4,2.75,1.41,3.13,1.45,3.2,1.4,2.95,7-6 6-7 6-0
1,Brisbane,Brisbane International,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Kecmanovic M.,Mayer L.,131.0,56.0,433.0,895.0,6.0,3.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.57,2.25,1.67,2.32,1.71,2.4,1.63,2.28,6-3 6-1
1,Brisbane,Brisbane International,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Raonic M.,Bedene A.,18.0,67.0,1855.0,780.0,6.0,0.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.18,4.5,1.23,4.68,1.27,4.84,1.22,4.26,6-0 6-3
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Kudla D.,Fritz T.,63.0,49.0,810.0,974.0,7.0,6.0,6.0,7.0,6.0,4.0,,,,,2.0,1.0,Completed,2.62,1.44,2.8,1.49,2.85,1.55,2.7,1.47,7-6 6-7 6-4
2,Doha,Qatar Exxon Mobil Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Berankis R.,Goffin D.,116.0,22.0,507.0,1785.0,3.0,6.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed,3.4,1.3,3.3,1.38,3.6,1.38,3.32,1.33,3-6 6-4 7-6
2,Doha,Qatar Exxon Mobil Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Pella G.,Ilkel C.,58.0,249.0,860.0,183.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.18,4.5,1.23,4.68,1.24,4.8,1.2,4.49,7-6 6-3
2,Doha,Qatar Exxon Mobil Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Cecchinato M.,Stakhovsky S.,20.0,134.0,1819.0,424.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.0,1.72,2.33,1.67,2.35,1.78,2.18,1.68,6-4 6-2
2,Doha,Qatar Exxon Mobil Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Lajovic D.,Mannarino A.,48.0,42.0,985.0,1045.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.78,2.15,1.8,2.2,1.72,2.11,6-3 7-6
2,Doha,Qatar Exxon Mobil Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Garcia-Lopez G.,Zayid M.S.,105.0,,543.0,,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.01,26.0,1.02,18.93,1.04,29.21,1.02,17.2,6-1 6-3
3,Pune,Maharashtra Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Ivashka I.,Hurkacz H.,91.0,86.0,622.0,636.0,6.0,7.0,6.0,2.0,6.0,3.0,,,,,2.0,1.0,Completed,2.25,1.57,2.29,1.69,2.37,1.71,2.24,1.65,6-7 6-2 6-3
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Chardy J.,Struff J.L.,40.0,57.0,1050.0,875.0,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,2.1,1.66,2.23,1.72,2.26,1.74,2.19,1.68,4-6 6-3 6-4
2,Doha,Qatar Exxon Mobil Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Djokovic N.,Dzumhur D.,1.0,47.0,9045.0,985.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.05,11.0,1.03,17.38,1.05,18.75,1.03,12.85,6-1 6-2
2,Doha,Qatar Exxon Mobil Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Herbert P.H.,Thiem D.,55.0,8.0,903.0,4095.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,3.75,1.25,4.06,1.28,4.2,1.33,3.77,1.27,6-3 7-5
3,Pune,Maharashtra Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Bolelli S.,Istomin D.,141.0,92.0,384.0,622.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.0,1.72,2.19,1.75,2.2,1.8,2.11,1.72,6-4 6-4
3,Pune,Maharashtra Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Karlovic I.,Auger-Aliassime F.,100.0,108.0,589.0,527.0,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,2.1,1.66,2.2,1.74,2.3,1.78,2.16,1.7,6-4 7-5
2,Doha,Qatar Exxon Mobil Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Wawrinka S.,Khachanov K.,66.0,11.0,785.0,2835.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.75,1.4,3.09,1.42,3.41,1.47,2.89,1.41,7-6 6-4
2,Doha,Qatar Exxon Mobil Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Fucsovics M.,Copil M.,36.0,60.0,1122.0,823.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.61,2.2,1.69,2.28,1.71,2.35,1.64,2.26,6-3 6-2
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Murray A.,Duckworth J.,240.0,234.0,200.0,206.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.38,3.29,1.39,3.6,1.34,3.26,6-3 6-4
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Tsonga J.W.,Kokkinakis T.,239.0,146.0,200.0,367.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.25,1.57,2.27,1.7,2.42,1.71,2.27,1.64,7-6 6-4
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,De Minaur A.,Popyrin A.,31.0,147.0,1298.0,367.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.2,4.33,1.21,4.98,1.24,5.0,1.2,4.55,6-2 6-2
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Thompson J.,Bolt A.,72.0,154.0,715.0,352.0,6.0,3.0,6.0,0.0,,,,,,,2.0,0.0,Completed,1.33,3.25,1.37,3.35,1.38,3.4,1.36,3.14,6-3 6-0
3,Pune,Maharashtra Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Vesely J.,Hoang A.,89.0,149.0,629.0,359.0,4.0,6.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,1.83,1.83,1.93,1.95,2.0,1.96,1.88,1.92,4-6 6-4 6-4
3,Pune,Maharashtra Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Paire B.,Monteiro T.,52.0,120.0,935.0,475.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,,,,,1.35,3.23,1.34,3.07,7-6 6-3
3,Pune,Maharashtra Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Ramanathan R.,Granollers M.,132.0,96.0,433.0,598.0,4.0,6.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed,2.25,1.57,2.33,1.67,2.4,1.67,2.3,1.61,4-6 6-4 6-3
3,Pune,Maharashtra Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Djere L.,Kadhe A.,93.0,392.0,621.0,37.0,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.22,4.0,1.26,4.31,1.3,4.4,1.25,3.96,7-5 7-6
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Kyrgios N.,Harrison R.,35.0,62.0,1125.0,810.0,7.0,6.0,5.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.4,2.75,1.47,2.87,1.5,3.16,1.44,2.8,7-6 5-7 7-6
3,Pune,Maharashtra Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Jaziri M.,Ramanathan R.,45.0,132.0,1014.0,433.0,6.0,7.0,7.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,2.0,1.72,1.95,1.95,2.1,1.98,1.94,1.86,6-7 7-6 6-3
3,Pune,Maharashtra Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Simon G.,Ivashka I.,30.0,91.0,1370.0,622.0,6.0,7.0,6.0,2.0,6.0,1.0,,,,,2.0,1.0,Completed,1.44,2.62,1.43,3.07,1.52,3.07,1.45,2.74,6-7 6-2 6-1
3,Pune,Maharashtra Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Darcis S.,Mmoh M.,,103.0,,563.0,4.0,6.0,7.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,2.37,1.53,2.52,1.59,2.55,1.68,2.42,1.56,4-6 7-6 6-2
3,Pune,Maharashtra Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Munar J.,Bolelli S.,81.0,141.0,663.0,384.0,7.0,5.0,6.0,0.0,,,,,,,2.0,0.0,Completed,2.0,1.72,2.15,1.79,2.15,1.8,2.08,1.75,7-5 6-0
3,Pune,Maharashtra Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Karlovic I.,Donskoy E.,100.0,97.0,589.0,594.0,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.61,2.2,1.74,2.23,1.74,2.33,1.66,2.22,6-4 7-5
3,Pune,Maharashtra Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Paire B.,Vesely J.,52.0,89.0,935.0,629.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.5,2.5,1.6,2.51,1.61,2.65,1.54,2.48,6-4 6-2
3,Pune,Maharashtra Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Gulbis E.,Chung H.,95.0,25.0,612.0,1585.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,3.0,1.36,3.5,1.35,3.5,1.38,3.25,1.34,7-6 6-2
1,Brisbane,Brisbane International,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Dimitrov G.,Millman J.,19.0,38.0,1835.0,1083.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.47,2.9,1.49,3.0,1.43,2.82,6-3 6-4
3,Pune,Maharashtra Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Anderson K.,Djere L.,6.0,93.0,4710.0,621.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.25,3.75,1.35,3.51,1.41,3.8,1.32,3.31,7-6 7-6
2,Doha,Qatar Exxon Mobil Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Berdych T.,Verdasco F.,71.0,28.0,715.0,1410.0,4.0,6.0,6.0,3.0,7.0,5.0,,,,,2.0,1.0,Completed,1.66,2.1,1.74,2.23,1.83,2.32,1.71,2.14,4-6 6-3 7-5
1,Brisbane,Brisbane International,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Uchiyama Y.,Edmund K.,185.0,14.0,275.0,2150.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,4.0,1.22,4.87,1.22,5.0,1.26,4.26,1.22,7-6 6-4
1,Brisbane,Brisbane International,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Nishikori K.,Kudla D.,9.0,63.0,3590.0,810.0,7.0,5.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.16,5.0,1.19,5.42,1.19,5.65,1.16,5.17,7-5 6-2
1,Brisbane,Brisbane International,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Raonic M.,Kecmanovic M.,18.0,131.0,1855.0,433.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.2,4.33,1.22,4.86,1.25,6.07,1.21,4.48,6-3 7-6
1,Brisbane,Brisbane International,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Chardy J.,Kyrgios N.,40.0,35.0,1050.0,1125.0,6.0,7.0,6.0,2.0,6.0,3.0,,,,,2.0,1.0,Completed,3.0,1.36,3.24,1.4,3.32,1.42,3.11,1.37,6-7 6-2 6-3
1,Brisbane,Brisbane International,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Medvedev D.,Murray A.,16.0,240.0,1977.0,200.0,7.0,5.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.83,1.83,1.9,2.0,1.99,2.0,1.88,1.93,7-5 6-2
1,Brisbane,Brisbane International,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,De Minaur A.,Thompson J.,31.0,72.0,1298.0,715.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.39,3.28,1.44,3.28,1.38,3.06,6-4 6-2
2,Doha,Qatar Exxon Mobil Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Basilashvili N.,Rublev A.,21.0,68.0,1795.0,760.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.0,1.72,2.09,1.83,2.1,2.0,2.0,1.81,6-3 6-4
2,Doha,Qatar Exxon Mobil Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Herbert P.H.,Marterer M.,55.0,74.0,903.0,706.0,6.0,3.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.72,2.0,1.71,2.27,1.78,2.28,1.69,2.17,6-3 6-7 7-6
2,Doha,Qatar Exxon Mobil Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Cecchinato M.,Pella G.,20.0,58.0,1819.0,860.0,,,,,,,,,,,,,Walkover,2.0,1.72,2.07,1.85,2.12,1.87,2.03,1.78,
2,Doha,Qatar Exxon Mobil Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Djokovic N.,Fucsovics M.,1.0,36.0,9045.0,1122.0,4.0,6.0,6.0,4.0,6.0,1.0,,,,,2.0,1.0,Completed,1.04,13.0,1.04,17.09,1.06,17.5,1.03,12.51,4-6 6-4 6-1
2,Doha,Qatar Exxon Mobil Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Wawrinka S.,Jarry N.,66.0,43.0,785.0,1022.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.38,3.32,1.41,3.44,1.37,3.1,6-4 7-6
2,Doha,Qatar Exxon Mobil Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Bautista Agut R.,Garcia-Lopez G.,24.0,105.0,1605.0,543.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.22,4.0,1.24,4.65,1.29,4.7,1.23,4.2,6-1 6-4
2,Doha,Qatar Exxon Mobil Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Lajovic D.,Berankis R.,48.0,116.0,985.0,507.0,7.0,6.0,0.0,6.0,7.0,5.0,,,,,2.0,1.0,Completed,1.66,2.1,1.75,2.2,1.8,2.27,1.72,2.12,7-6 0-6 7-5
2,Doha,Qatar Exxon Mobil Open,2019-01-03,ATP250,Outdoor,Hard,Quarterfinals,3.0,Bautista Agut R.,Wawrinka S.,24.0,66.0,1605.0,785.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.1,1.72,2.12,1.83,2.21,1.88,2.1,1.75,6-4 6-4
1,Brisbane,Brisbane International,2019-01-03,ATP250,Outdoor,Hard,2nd Round,3.0,Tsonga J.W.,Daniel T.,239.0,77.0,200.0,691.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.25,3.75,1.27,4.23,1.35,4.23,1.27,3.84,7-6 6-3
1,Brisbane,Brisbane International,2019-01-03,ATP250,Outdoor,Hard,Quarterfinals,3.0,Chardy J.,Uchiyama Y.,40.0,185.0,1050.0,275.0,6.0,4.0,3.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.61,2.3,1.64,2.45,1.67,2.55,1.61,2.34,6-4 3-6 7-6
1,Brisbane,Brisbane International,2019-01-03,ATP250,Outdoor,Hard,Quarterfinals,3.0,Nishikori K.,Dimitrov G.,9.0,19.0,3590.0,1835.0,7.0,5.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.61,2.3,1.68,2.36,1.73,2.38,1.65,2.26,7-5 7-5
3,Pune,Maharashtra Open,2019-01-03,ATP250,Outdoor,Hard,Quarterfinals,3.0,Darcis S.,Jaziri M.,,45.0,,1014.0,7.0,5.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.8,2.0,1.91,2.02,1.94,2.08,1.82,2.0,7-5 6-2
3,Pune,Maharashtra Open,2019-01-03,ATP250,Outdoor,Hard,Quarterfinals,3.0,Simon G.,Paire B.,30.0,52.0,1370.0,935.0,3.0,6.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.66,2.2,1.56,2.64,1.67,2.64,1.56,2.44,3-6 7-6 6-4
3,Pune,Maharashtra Open,2019-01-03,ATP250,Outdoor,Hard,Quarterfinals,3.0,Karlovic I.,Gulbis E.,100.0,95.0,589.0,612.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.1,1.72,2.18,1.78,2.21,1.85,2.12,1.73,7-6 7-6
2,Doha,Qatar Exxon Mobil Open,2019-01-03,ATP250,Outdoor,Hard,Quarterfinals,3.0,Cecchinato M.,Lajovic D.,20.0,48.0,1819.0,985.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.62,1.5,2.63,1.56,2.7,1.61,2.53,1.53,7-6 6-2
2,Doha,Qatar Exxon Mobil Open,2019-01-03,ATP250,Outdoor,Hard,Quarterfinals,3.0,Berdych T.,Herbert P.H.,71.0,55.0,715.0,903.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.53,2.5,1.49,2.87,1.53,2.87,1.49,2.67,6-2 6-4
2,Doha,Qatar Exxon Mobil Open,2019-01-03,ATP250,Outdoor,Hard,Quarterfinals,3.0,Djokovic N.,Basilashvili N.,1.0,21.0,9045.0,1795.0,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,1.06,10.0,1.09,9.69,1.1,10.45,1.07,8.78,4-6 6-3 6-4
3,Pune,Maharashtra Open,2019-01-03,ATP250,Outdoor,Hard,Quarterfinals,3.0,Anderson K.,Munar J.,6.0,81.0,4710.0,663.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.25,4.0,1.28,4.14,1.4,4.4,1.3,3.57,6-3 6-3
1,Brisbane,Brisbane International,2019-01-04,ATP250,Outdoor,Hard,Quarterfinals,3.0,Tsonga J.W.,De Minaur A.,239.0,31.0,200.0,1298.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.5,1.53,2.5,1.61,2.56,1.63,2.42,1.57,6-4 7-6
1,Brisbane,Brisbane International,2019-01-04,ATP250,Outdoor,Hard,Quarterfinals,3.0,Medvedev D.,Raonic M.,16.0,18.0,1977.0,1855.0,6.0,7.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,2.0,1.8,2.16,1.8,2.16,1.91,2.04,1.79,6-7 6-3 6-4
3,Pune,Maharashtra Open,2019-01-04,ATP250,Outdoor,Hard,Semifinals,3.0,Anderson K.,Simon G.,6.0,30.0,4710.0,1370.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.36,3.2,1.41,3.22,1.44,3.31,1.39,3.03,6-3 7-6
2,Doha,Qatar Exxon Mobil Open,2019-01-04,ATP250,Outdoor,Hard,Semifinals,3.0,Berdych T.,Cecchinato M.,71.0,20.0,715.0,1819.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.5,2.83,1.56,3.03,1.45,2.78,7-6 6-3
2,Doha,Qatar Exxon Mobil Open,2019-01-04,ATP250,Outdoor,Hard,Semifinals,3.0,Bautista Agut R.,Djokovic N.,24.0,1.0,1605.0,9045.0,3.0,6.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,5.0,1.16,5.22,1.21,5.4,1.21,4.95,1.18,3-6 7-6 6-4
3,Pune,Maharashtra Open,2019-01-04,ATP250,Outdoor,Hard,Semifinals,3.0,Karlovic I.,Darcis S.,100.0,,589.0,,7.0,6.0,4.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,1.53,2.5,1.55,2.66,1.6,2.68,1.53,2.53,7-6 4-6 6-3
3,Pune,Maharashtra Open,2019-01-05,ATP250,Outdoor,Hard,The Final,3.0,Anderson K.,Karlovic I.,6.0,100.0,4710.0,589.0,7.0,6.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.28,3.75,1.3,3.99,1.3,4.25,1.27,3.83,7-6 6-7 7-6
1,Brisbane,Brisbane International,2019-01-05,ATP250,Outdoor,Hard,Semifinals,3.0,Medvedev D.,Tsonga J.W.,16.0,239.0,1977.0,200.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.61,2.3,1.71,2.3,1.79,2.46,1.67,2.23,7-6 6-2
2,Doha,Qatar Exxon Mobil Open,2019-01-05,ATP250,Outdoor,Hard,The Final,3.0,Bautista Agut R.,Berdych T.,24.0,71.0,1605.0,715.0,6.0,4.0,3.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,1.57,2.37,1.6,2.55,1.65,2.55,1.6,2.37,6-4 3-6 6-3
1,Brisbane,Brisbane International,2019-01-05,ATP250,Outdoor,Hard,Semifinals,3.0,Nishikori K.,Chardy J.,9.0,40.0,3590.0,1050.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.16,5.0,1.2,5.3,1.2,5.8,1.17,5.11,6-2 6-2
1,Brisbane,Brisbane International,2019-01-06,ATP250,Outdoor,Hard,The Final,3.0,Nishikori K.,Medvedev D.,9.0,16.0,3590.0,1977.0,6.0,4.0,3.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,1.57,2.37,1.66,2.4,1.67,2.54,1.6,2.36,6-4 3-6 6-2
4,Auckland,ASB Classic,2019-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Fritz T.,Copil M.,50.0,61.0,933.0,823.0,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,1.53,2.37,1.67,2.32,1.67,2.45,1.59,2.34,4-6 6-3 6-4
5,Sydney,Sydney International,2019-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Thompson J.,Mannarino A.,72.0,41.0,715.0,1045.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.65,2.37,1.71,2.4,1.63,2.28,6-3 6-3
