ATP,Location,Tournament,tourney_date,Series,Court,surface,Round,Best of,winner_name,loser_name,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,Scores
1,Brisbane,Brisbane International,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Grigor Dimitrov,Yoshihito Nishioka,19.0,75.0,1835.0,701.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.36,3.37,1.42,3.6,1.35,3.18,6-3 6-4
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Fernando Verdasco,Paolo Lorenzi,28.0,109.0,1410.0,525.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.22,4.0,1.23,4.62,1.3,4.7,1.24,4.07,6-3 6-4
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Nicolas Jarry,Robin Haase,43.0,50.0,1022.0,965.0,6.0,7.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed,2.1,1.66,2.07,1.83,2.17,1.87,2.05,1.77,6-7 6-4 7-6
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Roberto Bautista Agut,Matteo Berrettini,24.0,54.0,1605.0,932.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.3,3.4,1.34,3.5,1.53,3.6,1.35,3.23,6-1 6-4
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Andrey Rublev,Andreas Seppi,68.0,37.0,760.0,1106.0,7.0,5.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.5,2.5,1.48,2.83,1.57,2.83,1.5,2.59,7-5 6-1
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Maximilian Marterer,Peter Gojowczyk,74.0,59.0,706.0,855.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.9,1.8,2.2,1.74,2.23,1.82,2.09,1.74,6-1 6-4
3,Pune,Maharashtra Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Steve Darcis,Roberto Carballes Baena,,73.0,,714.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.37,1.53,2.44,1.61,2.47,1.65,2.35,1.59,6-3 6-4
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Tomas Berdych,Philipp Kohlschreiber,71.0,34.0,715.0,1125.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.62,1.44,2.86,1.47,2.86,2.02,2.44,1.59,6-4 7-6
3,Pune,Maharashtra Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Evgeny Donskoy,Pablo Andujar,97.0,82.0,594.0,658.0,6.0,3.0,5.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.5,2.5,1.54,2.62,1.57,2.65,1.51,2.53,6-3 5-7 7-6
3,Pune,Maharashtra Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Michael Mmoh,Prajnesh Gunneswaran,103.0,110.0,563.0,521.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.81,2.1,1.83,2.17,1.74,2.09,7-5 6-3
3,Pune,Maharashtra Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Ernests Gulbis,Pedro Sousa,95.0,104.0,612.0,550.0,6.0,4.0,4.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.33,3.25,1.36,3.39,1.4,3.5,1.35,3.19,6-4 4-6 6-4
3,Pune,Maharashtra Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Jaume Munar,Radu Albot,81.0,98.0,663.0,592.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.0,1.72,1.94,1.94,2.08,1.95,1.94,1.86,6-2 7-6
2,Doha,Qatar Exxon Mobil Open,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Nikoloz Basilashvili,Ramos-Vinolas A.,21.0,65.0,1795.0,790.0,6.0,1.0,1.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed,1.4,2.75,1.49,2.81,1.5,3.03,1.45,2.75,6-1 1-6 6-1
1,Brisbane,Brisbane International,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Milos Raonic,Andraz Bedene,18.0,67.0,1855.0,780.0,6.0,0.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.18,4.5,1.23,4.68,1.27,4.84,1.22,4.26,6-0 6-3
1,Brisbane,Brisbane International,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Miomir Kecmanovic,Leonardo Mayer,131.0,56.0,433.0,895.0,6.0,3.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.57,2.25,1.67,2.32,1.71,2.4,1.63,2.28,6-3 6-1
1,Brisbane,Brisbane International,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,John Millman,Tennys Sandgren,38.0,61.0,1083.0,814.0,7.0,6.0,6.0,7.0,6.0,0.0,,,,,2.0,1.0,Completed,1.4,2.75,1.41,3.13,1.45,3.2,1.4,2.95,7-6 6-7 6-0
1,Brisbane,Brisbane International,2018-12-31,ATP250,Outdoor,Hard,1st Round,3.0,Yasutaka Uchiyama,Ugo Humbert,185.0,102.0,275.0,572.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.62,1.44,2.73,1.51,3.26,1.53,2.69,1.47,6-4 7-6
3,Pune,Maharashtra Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Laslo Djere,Arjun Kadhe,93.0,392.0,621.0,37.0,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.22,4.0,1.26,4.31,1.3,4.4,1.25,3.96,7-5 7-6
2,Doha,Qatar Exxon Mobil Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Ricardas Berankis,David Goffin,116.0,22.0,507.0,1785.0,3.0,6.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed,3.4,1.3,3.3,1.38,3.6,1.38,3.32,1.33,3-6 6-4 7-6
2,Doha,Qatar Exxon Mobil Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Guido Pella,Cem Ilkel,58.0,249.0,860.0,183.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.18,4.5,1.23,4.68,1.24,4.8,1.2,4.49,7-6 6-3
2,Doha,Qatar Exxon Mobil Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Marco Cecchinato,Sergiy Stakhovsky,20.0,134.0,1819.0,424.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.0,1.72,2.33,1.67,2.35,1.78,2.18,1.68,6-4 6-2
3,Pune,Maharashtra Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Simone Bolelli,Denis Istomin,141.0,92.0,384.0,622.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.0,1.72,2.19,1.75,2.2,1.8,2.11,1.72,6-4 6-4
2,Doha,Qatar Exxon Mobil Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Guillermo Garcia Lopez,Mubarak Shannan Zayid,105.0,,543.0,,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.01,26.0,1.02,18.93,1.04,29.21,1.02,17.2,6-1 6-3
2,Doha,Qatar Exxon Mobil Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Stan Wawrinka,Karen Khachanov,66.0,11.0,785.0,2835.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.75,1.4,3.09,1.42,3.41,1.47,2.89,1.41,7-6 6-4
2,Doha,Qatar Exxon Mobil Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Marton Fucsovics,Marius Copil,36.0,60.0,1122.0,823.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.61,2.2,1.69,2.28,1.71,2.35,1.64,2.26,6-3 6-2
2,Doha,Qatar Exxon Mobil Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Novak Djokovic,Damir Dzumhur,1.0,47.0,9045.0,985.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.05,11.0,1.03,17.38,1.05,18.75,1.03,12.85,6-1 6-2
3,Pune,Maharashtra Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Ramkumar Ramanathan,Marcel Granollers,132.0,96.0,433.0,598.0,4.0,6.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed,2.25,1.57,2.33,1.67,2.4,1.67,2.3,1.61,4-6 6-4 6-3
3,Pune,Maharashtra Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Benoit Paire,Thiago Monteiro,52.0,120.0,935.0,475.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,,,,,1.35,3.23,1.34,3.07,7-6 6-3
3,Pune,Maharashtra Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Jiri Vesely,Antoine Hoang,89.0,149.0,629.0,359.0,4.0,6.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,1.83,1.83,1.93,1.95,2.0,1.96,1.88,1.92,4-6 6-4 6-4
3,Pune,Maharashtra Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Ilya Ivashka,Hubert Hurkacz,91.0,86.0,622.0,636.0,6.0,7.0,6.0,2.0,6.0,3.0,,,,,2.0,1.0,Completed,2.25,1.57,2.29,1.69,2.37,1.71,2.24,1.65,6-7 6-2 6-3
3,Pune,Maharashtra Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Ivo Karlovic,Felix Auger Aliassime,100.0,108.0,589.0,527.0,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,2.1,1.66,2.2,1.74,2.3,1.78,2.16,1.7,6-4 7-5
2,Doha,Qatar Exxon Mobil Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Dusan Lajovic,Adrian Mannarino,48.0,42.0,985.0,1045.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.78,2.15,1.8,2.2,1.72,2.11,6-3 7-6
2,Doha,Qatar Exxon Mobil Open,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Pierre Hugues Herbert,Dominic Thiem,55.0,8.0,903.0,4095.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,3.75,1.25,4.06,1.28,4.2,1.33,3.77,1.27,6-3 7-5
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,John Thompson,Alex Bolt,72.0,154.0,715.0,352.0,6.0,3.0,6.0,0.0,,,,,,,2.0,0.0,Completed,1.33,3.25,1.37,3.35,1.38,3.4,1.36,3.14,6-3 6-0
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Alex De Minaur,Alexei Popyrin,31.0,147.0,1298.0,367.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.2,4.33,1.21,4.98,1.24,5.0,1.2,4.55,6-2 6-2
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Jo-Wilfried Tsonga,Thanasi Kokkinakis,239.0,146.0,200.0,367.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.25,1.57,2.27,1.7,2.42,1.71,2.27,1.64,7-6 6-4
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Nick Kyrgios,Ryan Harrison,35.0,62.0,1125.0,810.0,7.0,6.0,5.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.4,2.75,1.47,2.87,1.5,3.16,1.44,2.8,7-6 5-7 7-6
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Andy Murray,James Duckworth,240.0,234.0,200.0,206.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.38,3.29,1.39,3.6,1.34,3.26,6-3 6-4
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Jeremy Chardy,Jan Lennard Struff,40.0,57.0,1050.0,875.0,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,2.1,1.66,2.23,1.72,2.26,1.74,2.19,1.68,4-6 6-3 6-4
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3.0,Denis Kudla,Taylor Fritz,63.0,49.0,810.0,974.0,7.0,6.0,6.0,7.0,6.0,4.0,,,,,2.0,1.0,Completed,2.62,1.44,2.8,1.49,2.85,1.55,2.7,1.47,7-6 6-7 6-4
1,Brisbane,Brisbane International,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Jeremy Chardy,Nick Kyrgios,40.0,35.0,1050.0,1125.0,6.0,7.0,6.0,2.0,6.0,3.0,,,,,2.0,1.0,Completed,3.0,1.36,3.24,1.4,3.32,1.42,3.11,1.37,6-7 6-2 6-3
1,Brisbane,Brisbane International,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Kei Nishikori,Denis Kudla,9.0,63.0,3590.0,810.0,7.0,5.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.16,5.0,1.19,5.42,1.19,5.65,1.16,5.17,7-5 6-2
1,Brisbane,Brisbane International,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Milos Raonic,Miomir Kecmanovic,18.0,131.0,1855.0,433.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.2,4.33,1.22,4.86,1.25,6.07,1.21,4.48,6-3 7-6
3,Pune,Maharashtra Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Ivo Karlovic,Evgeny Donskoy,100.0,97.0,589.0,594.0,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.61,2.2,1.74,2.23,1.74,2.33,1.66,2.22,6-4 7-5
2,Doha,Qatar Exxon Mobil Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Tomas Berdych,Fernando Verdasco,71.0,28.0,715.0,1410.0,4.0,6.0,6.0,3.0,7.0,5.0,,,,,2.0,1.0,Completed,1.66,2.1,1.74,2.23,1.83,2.32,1.71,2.14,4-6 6-3 7-5
2,Doha,Qatar Exxon Mobil Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Nikoloz Basilashvili,Andrey Rublev,21.0,68.0,1795.0,760.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.0,1.72,2.09,1.83,2.1,2.0,2.0,1.81,6-3 6-4
2,Doha,Qatar Exxon Mobil Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Pierre Hugues Herbert,Maximilian Marterer,55.0,74.0,903.0,706.0,6.0,3.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.72,2.0,1.71,2.27,1.78,2.28,1.69,2.17,6-3 6-7 7-6
2,Doha,Qatar Exxon Mobil Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Marco Cecchinato,Guido Pella,20.0,58.0,1819.0,860.0,,,,,,,,,,,,,Walkover,2.0,1.72,2.07,1.85,2.12,1.87,2.03,1.78,
2,Doha,Qatar Exxon Mobil Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Novak Djokovic,Marton Fucsovics,1.0,36.0,9045.0,1122.0,4.0,6.0,6.0,4.0,6.0,1.0,,,,,2.0,1.0,Completed,1.04,13.0,1.04,17.09,1.06,17.5,1.03,12.51,4-6 6-4 6-1
2,Doha,Qatar Exxon Mobil Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Stan Wawrinka,Nicolas Jarry,66.0,43.0,785.0,1022.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.38,3.32,1.41,3.44,1.37,3.1,6-4 7-6
2,Doha,Qatar Exxon Mobil Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Roberto Bautista Agut,Guillermo Garcia Lopez,24.0,105.0,1605.0,543.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.22,4.0,1.24,4.65,1.29,4.7,1.23,4.2,6-1 6-4
2,Doha,Qatar Exxon Mobil Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Dusan Lajovic,Ricardas Berankis,48.0,116.0,985.0,507.0,7.0,6.0,0.0,6.0,7.0,5.0,,,,,2.0,1.0,Completed,1.66,2.1,1.75,2.2,1.8,2.27,1.72,2.12,7-6 0-6 7-5
3,Pune,Maharashtra Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Ernests Gulbis,Hyeon Chung,95.0,25.0,612.0,1585.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,3.0,1.36,3.5,1.35,3.5,1.38,3.25,1.34,7-6 6-2
1,Brisbane,Brisbane International,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Daniil Medvedev,Andy Murray,16.0,240.0,1977.0,200.0,7.0,5.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.83,1.83,1.9,2.0,1.99,2.0,1.88,1.93,7-5 6-2
1,Brisbane,Brisbane International,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Alex De Minaur,John Thompson,31.0,72.0,1298.0,715.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.39,3.28,1.44,3.28,1.38,3.06,6-4 6-2
3,Pune,Maharashtra Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Benoit Paire,Jiri Vesely,52.0,89.0,935.0,629.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.5,2.5,1.6,2.51,1.61,2.65,1.54,2.48,6-4 6-2
3,Pune,Maharashtra Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Kevin Anderson,Laslo Djere,6.0,93.0,4710.0,621.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.25,3.75,1.35,3.51,1.41,3.8,1.32,3.31,7-6 7-6
3,Pune,Maharashtra Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Jaume Munar,Simone Bolelli,81.0,141.0,663.0,384.0,7.0,5.0,6.0,0.0,,,,,,,2.0,0.0,Completed,2.0,1.72,2.15,1.79,2.15,1.8,2.08,1.75,7-5 6-0
3,Pune,Maharashtra Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Steve Darcis,Michael Mmoh,,103.0,,563.0,4.0,6.0,7.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,2.37,1.53,2.52,1.59,2.55,1.68,2.42,1.56,4-6 7-6 6-2
3,Pune,Maharashtra Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Germain Simon,Ilya Ivashka,30.0,91.0,1370.0,622.0,6.0,7.0,6.0,2.0,6.0,1.0,,,,,2.0,1.0,Completed,1.44,2.62,1.43,3.07,1.52,3.07,1.45,2.74,6-7 6-2 6-1
3,Pune,Maharashtra Open,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Malek Jaziri,Ramkumar Ramanathan,45.0,132.0,1014.0,433.0,6.0,7.0,7.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,2.0,1.72,1.95,1.95,2.1,1.98,1.94,1.86,6-7 7-6 6-3
1,Brisbane,Brisbane International,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Yasutaka Uchiyama,Kyle Edmund,185.0,14.0,275.0,2150.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,4.0,1.22,4.87,1.22,5.0,1.26,4.26,1.22,7-6 6-4
1,Brisbane,Brisbane International,2019-01-02,ATP250,Outdoor,Hard,2nd Round,3.0,Grigor Dimitrov,John Millman,19.0,38.0,1835.0,1083.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.47,2.9,1.49,3.0,1.43,2.82,6-3 6-4
3,Pune,Maharashtra Open,2019-01-03,ATP250,Outdoor,Hard,Quarterfinals,3.0,Steve Darcis,Malek Jaziri,,45.0,,1014.0,7.0,5.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.8,2.0,1.91,2.02,1.94,2.08,1.82,2.0,7-5 6-2
3,Pune,Maharashtra Open,2019-01-03,ATP250,Outdoor,Hard,Quarterfinals,3.0,Germain Simon,Benoit Paire,30.0,52.0,1370.0,935.0,3.0,6.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.66,2.2,1.56,2.64,1.67,2.64,1.56,2.44,3-6 7-6 6-4
3,Pune,Maharashtra Open,2019-01-03,ATP250,Outdoor,Hard,Quarterfinals,3.0,Ivo Karlovic,Ernests Gulbis,100.0,95.0,589.0,612.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.1,1.72,2.18,1.78,2.21,1.85,2.12,1.73,7-6 7-6
2,Doha,Qatar Exxon Mobil Open,2019-01-03,ATP250,Outdoor,Hard,Quarterfinals,3.0,Marco Cecchinato,Dusan Lajovic,20.0,48.0,1819.0,985.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.62,1.5,2.63,1.56,2.7,1.61,2.53,1.53,7-6 6-2
2,Doha,Qatar Exxon Mobil Open,2019-01-03,ATP250,Outdoor,Hard,Quarterfinals,3.0,Tomas Berdych,Pierre Hugues Herbert,71.0,55.0,715.0,903.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.53,2.5,1.49,2.87,1.53,2.87,1.49,2.67,6-2 6-4
2,Doha,Qatar Exxon Mobil Open,2019-01-03,ATP250,Outdoor,Hard,Quarterfinals,3.0,Novak Djokovic,Nikoloz Basilashvili,1.0,21.0,9045.0,1795.0,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,1.06,10.0,1.09,9.69,1.1,10.45,1.07,8.78,4-6 6-3 6-4
2,Doha,Qatar Exxon Mobil Open,2019-01-03,ATP250,Outdoor,Hard,Quarterfinals,3.0,Roberto Bautista Agut,Stan Wawrinka,24.0,66.0,1605.0,785.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.1,1.72,2.12,1.83,2.21,1.88,2.1,1.75,6-4 6-4
1,Brisbane,Brisbane International,2019-01-03,ATP250,Outdoor,Hard,2nd Round,3.0,Jo-Wilfried Tsonga,Taro Daniel,239.0,77.0,200.0,691.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.25,3.75,1.27,4.23,1.35,4.23,1.27,3.84,7-6 6-3
1,Brisbane,Brisbane International,2019-01-03,ATP250,Outdoor,Hard,Quarterfinals,3.0,Jeremy Chardy,Yasutaka Uchiyama,40.0,185.0,1050.0,275.0,6.0,4.0,3.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.61,2.3,1.64,2.45,1.67,2.55,1.61,2.34,6-4 3-6 7-6
1,Brisbane,Brisbane International,2019-01-03,ATP250,Outdoor,Hard,Quarterfinals,3.0,Kei Nishikori,Grigor Dimitrov,9.0,19.0,3590.0,1835.0,7.0,5.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.61,2.3,1.68,2.36,1.73,2.38,1.65,2.26,7-5 7-5
3,Pune,Maharashtra Open,2019-01-03,ATP250,Outdoor,Hard,Quarterfinals,3.0,Kevin Anderson,Jaume Munar,6.0,81.0,4710.0,663.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.25,4.0,1.28,4.14,1.4,4.4,1.3,3.57,6-3 6-3
2,Doha,Qatar Exxon Mobil Open,2019-01-04,ATP250,Outdoor,Hard,Semifinals,3.0,Roberto Bautista Agut,Novak Djokovic,24.0,1.0,1605.0,9045.0,3.0,6.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,5.0,1.16,5.22,1.21,5.4,1.21,4.95,1.18,3-6 7-6 6-4
3,Pune,Maharashtra Open,2019-01-04,ATP250,Outdoor,Hard,Semifinals,3.0,Kevin Anderson,Germain Simon,6.0,30.0,4710.0,1370.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.36,3.2,1.41,3.22,1.44,3.31,1.39,3.03,6-3 7-6
1,Brisbane,Brisbane International,2019-01-04,ATP250,Outdoor,Hard,Quarterfinals,3.0,Daniil Medvedev,Milos Raonic,16.0,18.0,1977.0,1855.0,6.0,7.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,2.0,1.8,2.16,1.8,2.16,1.91,2.04,1.79,6-7 6-3 6-4
1,Brisbane,Brisbane International,2019-01-04,ATP250,Outdoor,Hard,Quarterfinals,3.0,Jo-Wilfried Tsonga,Alex De Minaur,239.0,31.0,200.0,1298.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.5,1.53,2.5,1.61,2.56,1.63,2.42,1.57,6-4 7-6
3,Pune,Maharashtra Open,2019-01-04,ATP250,Outdoor,Hard,Semifinals,3.0,Ivo Karlovic,Steve Darcis,100.0,,589.0,,7.0,6.0,4.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,1.53,2.5,1.55,2.66,1.6,2.68,1.53,2.53,7-6 4-6 6-3
2,Doha,Qatar Exxon Mobil Open,2019-01-04,ATP250,Outdoor,Hard,Semifinals,3.0,Tomas Berdych,Marco Cecchinato,71.0,20.0,715.0,1819.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.5,2.83,1.56,3.03,1.45,2.78,7-6 6-3
1,Brisbane,Brisbane International,2019-01-05,ATP250,Outdoor,Hard,Semifinals,3.0,Daniil Medvedev,Jo-Wilfried Tsonga,16.0,239.0,1977.0,200.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.61,2.3,1.71,2.3,1.79,2.46,1.67,2.23,7-6 6-2
2,Doha,Qatar Exxon Mobil Open,2019-01-05,ATP250,Outdoor,Hard,The Final,3.0,Roberto Bautista Agut,Tomas Berdych,24.0,71.0,1605.0,715.0,6.0,4.0,3.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,1.57,2.37,1.6,2.55,1.65,2.55,1.6,2.37,6-4 3-6 6-3
1,Brisbane,Brisbane International,2019-01-05,ATP250,Outdoor,Hard,Semifinals,3.0,Kei Nishikori,Jeremy Chardy,9.0,40.0,3590.0,1050.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.16,5.0,1.2,5.3,1.2,5.8,1.17,5.11,6-2 6-2
3,Pune,Maharashtra Open,2019-01-05,ATP250,Outdoor,Hard,The Final,3.0,Kevin Anderson,Ivo Karlovic,6.0,100.0,4710.0,589.0,7.0,6.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.28,3.75,1.3,3.99,1.3,4.25,1.27,3.83,7-6 6-7 7-6
5,Sydney,Sydney International,2019-01-06,ATP250,Outdoor,Hard,1st Round,3.0,John Thompson,Adrian Mannarino,72.0,41.0,715.0,1045.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.65,2.37,1.71,2.4,1.63,2.28,6-3 6-3
