0
Vasek Pospisil
Yasutaka Uchiyama
Sho Shimabukuro
Alex Bolt
Jo-Wilfried Tsonga
Bradley Holt
Pablo Andujar
Tommy Paul
Kamil Majchrzak
Benjamin Bonzi
Mikael Torpegaard
Marc Andrea Huesler
Nikoloz Basilashvili
Oscar Otte
Cameron Norrie
Adrian Mannarino
Roger Federer
Attila Balazs
Fabio Fognini
Leandro Riedi
Francisco Cerundolo
Antoine Hoang
Lorenzo Giustino
Joshua Fonseca
James Duckworth
Daniel Evans
Yuki Bhambri
Jaume Munar
Guido Pella
Hugo Gaston
Christopher Oconnell
Constant Lestienne
